老是较书。,老师教书。,"[('是', '师', 1), ('较', '教', 2)]"
遇到一位很美的女生跟我疗天。,遇到一位很美的女生跟我聊天。,"[('疗', '聊', 11)]"
王天华开心得一直说话。,王天华开心地一直说话。,"[('得', '地', 5)]"
老是较书。,老师教书。,"[('是', '师', 1), ('较', '教', 2)]"
老是较书。,老师教书。,"[('是', '师', 1), ('较', '教', 2)]"
感谢等五分以后，碰到一位很棒的奴生跟我可聊。,感谢等五分以后，碰到一位很棒的女生跟我可聊。,"[('奴', '女', 15)]"
遇到一位很棒的奴生跟我聊天,遇到一位很棒的女生跟我聊天,"[('奴', '女', 7)]"
老是较书。,老师教书。,"[('是', '师', 1), ('较', '教', 2)]"
感谢等五分以后，碰到一位很棒的奴生跟我可聊。,感谢等五分以后，碰到一位很棒的女生跟我可聊。,"[('奴', '女', 15)]"
遇到一位很棒的奴生跟我聊天。,遇到一位很棒的女生跟我聊天。,"[('奴', '女', 7)]"
王天华开心得一直说话。,王天华开心地一直说话。,"[('得', '地', 5)]"
